"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Vikerforell roogitud, jahutatud, HÄRJANURME, kg",11.99,11.99
"2","Selver","Poke-kauss forelliga, SELVERI KÖÖK, 350 g",5.99,17.11
"3","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 260 g",9.69,37.27
"4","Selver","Täidetud munad kreveti ja forellimarjaga, SELVERI KÖÖK, 190g, ettetellimisel",5.09,26.79
"5","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 650 g, ettetellimisel",20.9,32.15
"6","Selver","Täissööt. Kuivtoit keerulise isuga kassile tursk-forell, PURINA ONE, 800g",4.89,6.11430044182621
"7","Selver","Kuumsuitsuforelli uramaki, SELVERI KÖÖK, 220 g",6.49,29.5
"8","Selver","Täissööt. Kiisueine forelli ja spinatiga, GOURMET PERLE, 85g",0.69,8.1154128440367
"9","Selver","Kana ja kuumsuitsuforelli uramakid, SELVERI KÖÖK, 440 g",9.49,21.57
"10","Selver","Soolaforelli-muna võileib, SELVERI KÖÖK, 100g",2.65,26.5
"11","Selver","Soolaforelli fileelõigud, M.V.WOOL, 100 g",3.99,39.9
"12","Selver","Kuumsuitsu lõhe/forelliribid, M.V.WOOL, kg",4.99,4.99
"13","Selver","Kuumsuitsuforellirullid teriyaki kastmega, SELVERI KÖÖK, 500 g",14.69,29.38
"14","Selver","Vikerforellifilee B-trim, HÄRJANURME, kg",22.9,22.9
"15","Selver","Külmsuitsu forellifilee, M.V.WOOL, 100 g",4.39,43.9
"16","Selver","Forellimari, KALURI, 100g",6.99,69.9
"17","Selver","Kuumsuitsu vikerforellifilee portsjon pipraga, SAARE KALA, 120 g",5.49,45.75
"18","Selver","Forellimari, KAPTEN GRANT, 100 g",10.49,104.9
"19","Selver","Beebi-vikerforell roogitud, jahutatud, HÄRJANURME, kg",12.99,12.99
"20","Selver","Forellimari, M.V.WOOL, 135 g",13.99,103.63
"21","Selver","Graaviforell viilutatud, M.V.WOOL, 350 g",9.99,28.5407153576788
"22","Selver","Sushi-salat kuumsuitsuforelliga, SELVERI KÖÖK, 700g, ettetellimisel",14.29,20.41
"23","Selver","Külmsuitsu forellifilee tükk, AVIKALA, kg",45.9,45.9
"24","Selver","Forellimari suitsumaitseline, HÄÄMEKK, 100 g",9.99,99.9
"25","Rimi","Lõhefilee RIMI kondita, nahata 250g",9.99,39.96
"26","Rimi","Vik.forellifil. nahaga ports. Saare Kala 240g",7.99,33.29
"27","Rimi","Vikerforellifilee portsjonid 250g",8.99,35.96
"28","Rimi","Atlandi lõhe roogitud, peaga 2-4kg",NA,12.99
"29","Rimi","Kassisööt lõhe.tursk.NutriBalance 415g",1.45,3.49
"30","Rimi","Õrnsoola forelli viilud 100g",4.49,44.9
"31","Rimi","Kassisööt One Difficult. tursk-forell 800g",6.99,8.74
"32","Rimi","Forellisupp Mamma 300g",3.79,12.63
"33","Rimi","Forellimari premium 100g",10.49,104.9
"34","Rimi","Forelliburger, külm. Saare Kala 200g",3.49,17.45
"35","Rimi","Forellimari premium Sudrablinis 300g",29.99,99.97
"36","Rimi","Forellikauss Chef Lunden 330g",5.49,16.64
"37","Rimi","Forellimari Rannaküla MSC 200g",12.99,64.95
"38","Rimi","Forellinagitsad, külm. Saare Kala 200g",7.99,39.95
"39","Prisma","Külmsuitsuforell, viilutatud 100 g",3.29,32.9
"40","Prisma","Külmsuitsuforell viilutatud 200 g",7.49,37.45
"41","Prisma","Külmsuitsu forell Premium 150 g",8.74,58.27
"42","Prisma","Vikerforell jahutatud, kg",10.99,10.99
"43","Prisma","Külmsuitsu vikerforell dzinni ja kadakamarjadega, viilutatud, 800g",35.99,NA
"44","Prisma","Külmsuitsuforell, viilutatud Mati Kala 90 g",3.39,37.67
"45","Prisma","Soolaforell Mati Kala, viilutatud 90 g",3.59,39.89
"46","Prisma","Forellimari 135 g",13.69,101.41
"47","Prisma","Soolaforell, viilutatud 100 g",3.99,39.9
"48","Prisma","Forellimari 1kg",69.99,NA
"49","Prisma","Forellimari 450 g",40.67,90.38
"50","Prisma","Forelliburger 200g, külmutatud",3.09,15.45
"51","Prisma","Forellisupp 300 g",3.29,10.97
"52","Prisma","Närimispulgad kassidele lõhe ja forelliga 5 tk",0.99,39.6
"53","Prisma","Kodujuustu-forelli salat 250 g",4.09,16.36
"54","Prisma","Forellivorm 300 g",3.39,11.3
"55","Prisma","Lõhe-forellitort 580 g",17.99,31.02
"56","Prisma","Forellikauss 330 g",5.59,16.94
"57","Barbora"," Külmsuitsu vikerforellifilee, 200g",4.99,24.95
"58","Barbora","Külmsuits.vikerforellifilee viilud, 100g",4.49,44.9
"59","Barbora","Õrnsoola vikerforellifilee viilud, 100g",4.49,44.9
"60","Barbora"," Vikerforellifilee õrnas soolas, 200g",4.99,24.95
"61","Barbora"," Forellimari EKC, 100g",4.99,49.9
"62","Barbora","Forellimari LEMBERG, 250g",27.49,109.96
"63","Barbora","Forellimari Koduranna, 100g",9.99,99.9
"64","Barbora","Forellimari LEMBERG, 200g",19.99,99.95
"65","Barbora"," Forellimari WELL DONE 200g",11.99,59.95
"66","Bolt Market Soola","Chef Lunden, forellikauss, 330g",5.99,18.15
"67","Bolt Market Soola","Lipton, must tee Forest Fruit, 20tk",3.05,NA
"68","Bolt Market Soola","Red Bull, energiajook Summer Edition Forest Berries, 250ml",1.75,NA
"69","Bolt Market Soola","M.V.Wool, soolalõhe viilutatud, 100g",4.39,43.9
"70","Bolt Market Soola","Veski Mati, kaerahelbe kiirpuder metsamarjadega, 45g",0.65,14.44
"71","Bolt Market Soola","Casa Charlize, Floreale Pinot Grigio Blush Terre Siciliane IGT 12%, 0,75l",11.05,NA
"72","Wolt Market Karlova","Forellimari M.V.Wool 135g",13.99,103.63
"73","Wolt Market Karlova","Sheba kiisueine kalavalik lõhe/tuunikala/forell, 6x50g",2.99,9.97
