"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Täissööt. Kassikonserv lõhe, kana tükkidega, GOURMET GOLD, 85g",0.58,6.82666666666667
"2","Selver","Täissööt. Kiisueine steriliseeritud kassidele lõhe ja porgandiga 4-pakk, PURINA ONE, 340g",2.99,8.79
"3","Selver","Täissööt. Kuiv kassitoit, steriliseeritud kassidele, lõhe ja nisu, PURINA ONE, 1,5kg",7.99,5.33
"4","Selver","Täiendsööt. Kassimaiused Grill veise, kana ja lõhe maitsega, FELIX, 60g",1.75,29.17
"5","Selver","Lisasööt. Kassieine tuunikala lõhe+tuunikala krevett tarrendis, PRIMACAT, 200g",4.69,23.45
"6","Selver","Lõhe roogitud, jahutatud, M.V.WOOL, kg",12.99,12.99
"7","Selver","Lõhe omas mahlas EO, KAPTEN GRANT, 230 g",2.59,11.26
"8","Selver","Lõhe liblikfilee jahutatud, SELVER, kg",24.9,24.9
"9","Selver","Lõhe liblikfilee karulaugumarinaadis, SELVER, kg",24.9,24.9
"10","Selver","Õllekrõps lõhe nahast, M.V.WOOL, 50 g",2.19,43.8
"11","Selver","Lõhe teriyaki-kastmes, RANNAKÜLA, 120 g",2.49,20.75
"12","Selver","Lõhe sinepikastmes, BANGA, 120 g",2.49,20.75
"13","Selver","Lõhefilee jahutatud C-trim, DTRIM GRUPP, kg",16.99,16.99
"14","Selver","Soolalõhefilee viilutatud, SELVER, kg",32.9,32.9
"15","Selver","Soolalõhe fileelõigud viilutatud, M.V.WOOL, 100 g",4.39,43.9
"16","Selver","Õrnsoola lõhefilee viilud, AVEKTRA, 100 g",4.49,44.9
"17","Selver","Külmsuitsu lõhefilee, M.V.WOOL, 100 g",4.39,43.9
"18","Selver","Suitsulõhemääre, SELVER, kg",24.9,24.9
"19","Selver","Külmsuitsulõhe viilutatud, M.V.WOOL, 200 g",5.99,29.95
"20","Selver","Külmsuitsu lõhefilee viilutatud, VICI, 100 g",4.19,41.9
"21","Selver","Lõhefilee portsjon grillitud, SAARE KALA, 120 g",4.99,41.58
"22","Selver","Külmsuitsu lõhefilee tükk, VICI, 160 g",4.99,31.1895826377295
"23","Selver","Lõhepasteet MSC, ASC, ABBA, 145 g",2.59,17.86
"24","Selver","Suflee lõhefileest, AVEKTRA, 220 g",3.59,16.3181818181818
"25","Selver","Lõherull kuumsuitsu, KÕRVEKÜLA KALATÖÖSTUS, kg",13.99,13.99
"26","Selver","Lõhefilee portsjonid, AVEKTRA, 250 g",8.39,33.56
"27","Selver","Lõhepasteet, DELAMARIS, 95 g",2.19,23.05
"28","Selver","Troopiline lõhefilee, SELVER, kg",29.9,29.9
"29","Selver","Täiskasvanud koertele lõhe-kartuli teraviljavaba täistoit, PRIMADOG, 3kg",21.9,7.3
"30","Selver","Lõhepasteet, RIO MARE, 100 g",3.89,38.9
"31","Selver","Paneeritud lõheburger, VICI, 250 g",2.59,10.36
"32","Selver","Külmsuitsu lõhefilee tükk, AVIKALA, kg",45.9,45.9
"33","Selver","Vürtsilõhe, SELVER, kg",27.9,27.9
"34","Selver","Lõhetasku mozzarellaga, SELVER, kg",24.9,24.9
"35","Selver","Täiendsööt. Kassimaius FELIX Deli Moments lõhe 4x10g, FELIX,",1.99,49.75
"36","Selver","Täistoit. Kiisueine lõhega, SHEBA, 85g",0.72,8.47
