"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Lõhefilee jahutatud C-trim, DTRIM GRUPP, kg",18.67,18.67
"2","Selver","Õrnsoola lõhefilee viilud, AVEKTRA, 100 g",3.37,33.7
"3","Selver","Külmsuitsu lõhefilee, M.V.WOOL, 100 g",3.29,32.9
"4","Selver","Külmsuitsu lõhefilee viilutatud, VICI, 100 g",3.14,31.4
"5","Selver","Lõhefilee portsjon grillitud, SAARE KALA, 120 g",3.74,31.1641683366733
"6","Selver","Külmsuitsu lõhefilee tükk, VICI, 160 g",4.99,31.1895826377295
"7","Selver","Lõhefilee portsjonid, AVEKTRA, 250 g",8.39,33.56
"8","Selver","Troopiline lõhefilee, SELVER, kg",22.42,22.42
"9","Selver","Külmsuitsu lõhefilee tükk, AVIKALA, kg",34.42,34.42
"10","Selver","Soolalõhefilee viilutatud, SELVER, kg",24.67,24.67
"11","Selver","Suflee lõhefileest, AVEKTRA, 220 g",3.59,16.3181818181818
"12","Rimi","Külms. Lõhefilee viilud Rimi 100g",3.99,39.9
"13","Rimi","Külmsuits lõhefilee Rimi 120g",4.89,40.75
"14","Rimi","Õrnsoola lõhefilee tükk Rimi 120g",4.89,40.75
"15","Rimi","Lõhefilee sinepikreemis Rimi 170g",2.49,14.65
"16","Rimi","Lõhefilee vürtsikas kreemis Rimi 170g",2.49,14.65
"17","Prisma","Lõhefilee jahutatud, kg",14.99,14.99
"18","Prisma","Vähesoolane lõhefilee viilud 150 g",7.49,49.93
"19","Prisma","Coop lõhefilee 2x150g",7.99,26.63
"20","Prisma","Lõhefilee apelsini marinaadis 300 g",11.18,37.27
"21","Prisma","LÕHEFILEE, SUITSUTATUD KG",20.29,20.29
"22","Prisma","Soolalõhefilee tükk 160 g",5.49,34.31
"23","Prisma","Grillitud lõhefilee portsjon 120 g",4.59,38.25
"24","Prisma","LÕHEFILEE KÜLMSUITSU, VIILUTATUD 100 G",3.79,37.9
"25","Prisma","Coop lõhefilee, kg",15.92,19.9
"26","Prisma","Kuumsuitsu lõhefilee 1,2-1,5 kg",36.59,NA
"27","Prisma","Külmsuitsu lõhefilee, sulatatud, viilutatud, kg",37.59,NA
"28","Barbora","Lõhefilee tomatikastmes KAIJA, 170g",2.99,17.59
"29","Barbora","Viil. vähesoolane lõhefilee, kg-lett",27.99,27.99
"30","Barbora","Lõhefilee vürtsikas kastmes KAIJA, 170g",2.99,17.59
"31","Barbora","Lõhefilee inglise sinepikast.KAIJA,170g",3.19,18.76
"32","Barbora","Kuivatatud lõhefilee viilud ZIGMAS, 80g",1.89,23.63
"33","Barbora","Soolatud Atlandi lõhefilee OCEAN, 100g",3.55,35.5
"34","Barbora","Lõhefilee õlis WELL DONE, 170g",2.39,14.06
"35","Barbora","Lõhefilee tomatikastmes WELL DONE 170g",2.39,14.06
"36","Barbora","Viil.vähesool.lõhefilee tilliga, kg-lett",27.99,27.99
"37","Barbora","Külmsuit.lõhefilee viilud WELL DONE,100g",3.19,31.9
"38","Barbora","Lõhefilee oma mahlas WELL DONE, 170g",2.09,12.29
"39","Barbora","Marin.lõhefilee viil.sidr.&pip.WD, 100g",3.99,39.9
"40","Barbora","Suflee lõhefileest AVEKTRA 220g",4.29,19.5
"41","Wolt Market Karlova","Vici Smart Choice külmsuitsu lõhefilee 100g",4.29,42.9
